"station","arrondissement","lat","long","dur","mm","jj","temp","precip"
"St-Dominique / Gounod","Villeray—Saint-Michel—Parc-Extension",45.5385915732697,-73.6277800798416,4.4566,8,7,23.5,0.4
"Messier / du Mont-Royal","Le Plateau-Mont-Royal",45.53711414,-73.5710031,2.31885,9,4,21.6,0
"Natatorium (LaSalle / Rolland)","Verdun",45.4443505862464,-73.575429797238,5.4385,5,3,16.7,2.3
"Marquette / du Mont-Royal","Le Plateau-Mont-Royal",45.5322179114747,-73.575431406498,3.42641666666667,6,7,20.5,1.7
"Desjardins / Ontario","Mercier - Hochelaga-Maisonneuve",45.5511841787224,-73.5408711433411,5.75623333333333,10,5,10.3,3.9
"de l'Hôtel-de-Ville / Ste-Catherine","Ville-Marie",45.5116604559387,-73.5621356964111,13.4188166666667,9,6,19.5,0
"Bloomfield / Bernard","Outremont",45.5203381937083,-73.6077547073364,12.7194166666667,6,4,21.5,20.2
"Laurier / de Bordeaux","Le Plateau-Mont-Royal",45.5372512837128,-73.5791838169098,13.7204833333333,6,1,15.2,2.2
"Milton / du Parc","Le Plateau-Mont-Royal",45.5093614283513,-73.5738636553288,8.64028333333333,7,3,23.3,3.5
"de Brébeuf / du Mont-Royal","Le Plateau-Mont-Royal",45.5292235552447,-73.5778491497695,4.78741666666667,7,4,25.4,0
"Guy / Sainte-Catherine","Ville-Marie",45.4949751285313,-73.5777704324846,8.87541666666667,9,2,17.9,0.5
"St-Hubert / Duluth","Le Plateau-Mont-Royal",45.5224256527886,-73.574184179306,19.8351666666667,9,3,21.7,0
"Marché Jean-Talon (Henri-Julien / Jean-Talon)","Rosemont - La Petite-Patrie",45.5367852512844,-73.6148879583925,7.64231666666667,7,7,23.8,0
"Pierre-de-Coubertin / Langelier","Mercier - Hochelaga-Maisonneuve",45.5803145464247,-73.5353136062622,8.20056666666667,8,7,21.5,1.2
"St-Hubert / Duluth","Le Plateau-Mont-Royal",45.5224256527886,-73.574184179306,8.47178333333333,7,6,23.1,1.9
"Ottawa / William","Le Sud-Ouest",45.4897272531843,-73.5640628635883,28.24715,5,6,14.5,0.6
"Berri / Laurier","Le Plateau-Mont-Royal",45.5280999552767,-73.5884387162514,4.35881666666667,5,1,22.1,0.2
"Gilford / St-Denis","Le Plateau-Mont-Royal",45.5249761296063,-73.5855889320374,5.04138333333333,5,2,17.3,4.3
